Player,Year,FirstServe,FirstServePointsWon,Aces,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ServiceGamesPlayed,ServiceGamesWon,Wins,Losses,Earnings,Ranking
Dusan Lajovic,2017,0.69,0.68,125,239,199,0.64,51,445,0.81,18,22,548668,93
Dimitar Kuzmanov,2017,0.69,0.51,1,7,1,0.43,2,10,0.6,0,1,20248,304
Frederico Ferreira Silva,2017,0.69,0.64,3,11,13,0.45,3,17,0.65,2,1,24474,297
Carlos Gomez-Herrera,2012,0.69,0.62,5,11,10,0.64,6,15,0.73,0,1,12469,295
Blaz Rola,2015,0.68,0.67,46,90,69,0.67,39,123,0.76,6,6,173757,166
Aslan Karatsev,2014,0.68,0.6,2,8,5,0.63,3,9,0.67,0,1,39878,541
Matthias Bachinger,2016,0.68,0.61,3,13,7,0.62,1,10,0.5,0,1,60315,160
Jerzy Janowicz,2011,0.68,0.76,8,11,2,0.82,8,16,0.88,2,3,61448,178
Rudolf Molleker,2017,0.68,0.55,2,5,3,0.2,1,10,0.6,0,1,20382,540
Mate Pavic,2012,0.68,0.7,17,14,10,0.79,7,28,0.89,5,2,18890,938
Andrej Martin,2010,0.68,0.61,0,7,1,0.43,2,9,0.56,0,1,43998,145
Lucas Gomez,2017,0.68,0.5,0,6,0,0.17,0,7,0.29,0,0,2656,825
Mischa Zverev,2013,0.68,0.67,33,65,63,0.54,25,104,0.71,4,5,119246,55
Mischa Zverev,2015,0.68,0.7,106,102,110,0.63,27,186,0.8,7,8,99071,55
Denis Istomin,2014,0.68,0.72,354,325,305,0.63,82,646,0.81,28,26,626402,88
Maximilian Marterer,2017,0.68,0.66,62,67,41,0.55,15,120,0.75,0,10,206959,73
Yannick Mertens,2012,0.68,0.67,1,7,5,0.71,2,9,0.78,0,1,60622,336
Marsel Ilhan,2009,0.68,0.69,28,36,31,0.56,7,73,0.78,2,3,83162,303
Markus Eriksson,2015,0.68,0.76,2,4,1,0.5,1,10,0.8,0,2,14485,314
Marsel Ilhan,2012,0.68,0.67,9,27,13,0.74,4,35,0.8,3,4,74536,303
Rubin Statham,2015,0.68,0.54,1,7,3,0.43,2,10,0.6,0,0,5266,354
Guido Pella,2015,0.68,0.71,28,49,25,0.73,16,72,0.82,1,4,161633,60
Guido Pella,2016,0.68,0.68,193,307,278,0.7,101,485,0.81,16,23,612905,60
Marcos Giron,2014,0.68,0.71,7,23,7,0.78,18,26,0.81,0,2,56446,318
Mikael Ymer,2016,0.68,0.71,4,9,14,0.78,4,22,0.91,1,3,14612,358
Konstantin Kravchuk,2012,0.68,0.76,40,19,14,0.63,12,37,0.81,1,2,51114,323
Carlos Berlocq,2013,0.68,0.69,163,320,346,0.58,113,564,0.76,28,25,566670,114
Thomas Fabbiano,2015,0.68,0.62,5,20,16,0.5,9,28,0.64,0,3,92291,103
Ruben Bemelmans,2016,0.68,0.67,26,42,21,0.76,9,64,0.84,2,2,125383,108
Gerard Granollers,2011,0.68,0.47,1,23,13,0.48,4,19,0.37,0,0,6171,388
Bernard Tomic,2013,0.68,0.72,345,283,253,0.67,58,571,0.84,25,22,648750,182
Ruben Bemelmans,2010,0.68,0.7,35,44,26,0.73,5,61,0.8,1,5,75834,108
Konstantin Kravchuk,2013,0.68,0.75,15,9,6,0.44,7,18,0.72,2,1,43439,323
Gerald Melzer,2017,0.67,0.68,74,110,106,0.62,37,184,0.77,9,9,202227,115
Alexandr Dolgopolov,2009,0.67,0.69,9,6,3,0.33,2,12,0.67,1,1,74957,53
Bernard Tomic,2017,0.67,0.7,201,183,125,0.59,54,357,0.79,10,19,474873,182
Ivo Karlovic,2014,0.67,0.84,1185,209,223,0.72,177,803,0.93,36,28,869356,76
Yuki Bhambri,2015,0.67,0.61,5,6,5,0.33,3,15,0.73,2,3,111174,83
Ivo Karlovic,2009,0.67,0.85,890,148,186,0.69,100,591,0.92,23,23,533067,76
Alessandro Giannessi,2012,0.67,0.6,4,50,34,0.54,23,58,0.6,1,4,61027,164
Gilles Muller,2009,0.67,0.75,160,102,75,0.65,46,210,0.83,5,9,117369,28
Thiago Monteiro,2016,0.67,0.68,32,74,70,0.64,21,140,0.81,6,7,143966,126
Carlos Berlocq,2014,0.67,0.66,100,266,252,0.61,80,383,0.73,19,18,430623,114
Tigre Hank,2016,0.67,0.54,1,18,8,0.5,5,18,0.5,0,2,23855,973
Thomas Fabbiano,2016,0.67,0.63,30,118,107,0.47,39,166,0.63,5,10,230438,103
Simone Bolelli,2010,0.67,0.68,55,107,81,0.5,24,181,0.71,7,12,192955,144
Filip Krajinovic,2016,0.67,0.57,16,44,23,0.52,11,46,0.54,1,4,74258,27
Cedrik-Marcel Stebe,2016,0.67,0.5,1,7,8,0.29,3,10,0.5,0,1,29654,101
Filip Krajinovic,2017,0.67,0.73,54,30,36,0.57,14,91,0.86,5,2,605368,27
Radu Albot,2016,0.67,0.62,32,156,120,0.61,49,185,0.67,4,11,259687,96
Andrej Martin,2016,0.67,0.65,29,115,115,0.73,27,125,0.75,9,5,199164,145
Liam Broady,2016,0.67,0.64,8,17,11,0.65,4,27,0.78,0,2,72027,157
Mikhail Kukushkin,2017,0.67,0.68,75,185,173,0.63,24,300,0.77,13,14,524937,95
Matthias Bachinger,2010,0.67,0.74,20,16,26,0.56,8,41,0.83,1,2,53210,160
Yuki Bhambri,2010,0.67,0.6,3,10,8,0.3,9,15,0.53,1,1,24995,83
Yuki Bhambri,2013,0.67,0.69,8,7,4,0.71,3,10,0.8,2,1,36376,83
Alessandro Giannessi,2016,0.67,0.67,9,23,28,0.57,16,33,0.7,1,1,148490,164
Nikoloz Basilashvili,2015,0.67,0.64,37,105,82,0.56,49,161,0.71,4,8,296978,80
Bernard Tomic,2014,0.67,0.75,298,146,165,0.6,36,401,0.85,17,15,499792,182
Oliver Golding,2012,0.67,0.75,26,16,7,0.69,25,33,0.85,0,2,36360,701
Sekou Bangoura,2017,0.67,0.85,5,1,0,0,6,11,0.91,0,1,50346,497
Kevin Anderson,2011,0.67,0.75,719,345,396,0.66,136,818,0.86,42,27,700879,8
Daniel Brands,2013,0.67,0.73,390,228,233,0.62,103,557,0.85,24,23,518107,428
Frank Dancevic,2017,0.67,0.79,10,8,10,0.5,4,23,0.83,1,1,57530,328
Alexandar Lazov,2016,0.67,0.56,1,11,2,0.45,2,8,0.25,1,1,3666,467
John Isner,2009,0.67,0.75,653,221,204,0.7,114,610,0.89,27,18,405498,9
Markus Eriksson,2013,0.67,0.64,5,30,23,0.7,12,35,0.74,3,5,22056,314
Jurgen Melzer,2016,0.67,0.67,16,50,46,0.58,15,72,0.71,4,3,67594,581
Mohamed Safwat,2013,0.67,0.79,8,9,13,0.56,2,19,0.79,1,1,42865,226
Alessandro Bega,2017,0.67,0.7,4,5,7,0.2,3,12,0.67,0,1,31131,352
Fred Gil,2010,0.67,0.61,45,203,127,0.61,42,240,0.67,6,7,36458,440
Kimmer Coppejans,2015,0.67,0.64,17,26,23,0.62,11,35,0.71,1,3,104751,313
Niels Desein,2015,0.67,0.73,6,7,3,0.57,6,13,0.77,0,1,53522,451
Jan Choinski,2016,0.67,0.55,2,3,2,0.33,1,5,0.6,0,1,16917,234
John-Patrick Smith,2017,0.67,0.64,16,26,22,0.58,8,43,0.74,0,3,147532,238
Niels Desein,2013,0.67,0.54,2,8,9,0.38,1,14,0.64,0,1,47037,451
Zhe Li,2011,0.67,0.64,7,15,3,0.47,5,16,0.5,0,2,38088,333
Daniel Brands,2009,0.67,0.76,100,77,87,0.69,39,159,0.85,7,5,160018,428
Rubin Statham,2014,0.67,0.57,3,11,4,0.64,3,8,0.5,0,1,4365,354
Christian Lindell,2011,0.67,0.47,3,33,10,0.42,6,31,0.39,0,4,25997,357
Jordi Samper-Montana,2016,0.67,0.56,2,17,9,0.59,0,18,0.61,0,1,87718,400
Mikael Ymer,2017,0.67,0.6,5,56,44,0.63,22,56,0.63,2,5,60150,358
Hyeon Chung,2016,0.67,0.65,42,116,109,0.47,29,207,0.71,8,13,237733,19
Kevin Anderson,2010,0.66,0.75,306,162,192,0.55,103,425,0.83,14,18,300355,8
Franko Skugor,2017,0.66,0.71,24,29,17,0.66,8,44,0.77,2,5,54998,292
Miljan Zekic,2017,0.66,0.68,11,25,9,0.68,5,30,0.73,1,2,65909,294
Bernard Tomic,2011,0.66,0.71,183,214,205,0.6,66,402,0.79,16,15,490224,182
Santiago Giraldo,2012,0.66,0.67,102,252,242,0.64,36,450,0.8,21,21,364577,293
Damir Dzumhur,2015,0.66,0.65,41,101,117,0.45,31,173,0.68,8,9,290160,31
Laslo Djere,2015,0.66,0.7,2,10,4,0.6,8,9,0.56,0,1,48319,102
Dmitry Tursunov,2017,0.66,0.64,12,59,24,0.56,16,68,0.62,1,5,161148,516
Omar Jasika,2014,0.66,0.62,3,8,6,0.38,3,16,0.69,0,1,15743,531
Marco Chiudinelli,2011,0.66,0.66,19,42,39,0.6,11,77,0.78,3,4,96927,464
Thomas Fabbiano,2013,0.66,0.64,0,12,5,0.75,7,14,0.79,0,1,64526,103
Radu Albot,2014,0.66,0.62,8,55,39,0.64,17,66,0.7,7,4,98805,96
Quentin Halys,2015,0.66,0.68,16,12,8,0.58,6,26,0.81,0,2,68097,118
Damir Dzumhur,2016,0.66,0.63,107,375,342,0.58,95,541,0.71,23,22,535649,31
Carlos Berlocq,2012,0.66,0.66,163,410,444,0.58,146,612,0.72,25,31,481339,114
Lorenzo Giustino,2017,0.66,0.63,1,7,2,0.43,4,9,0.56,0,1,65080,267
Ruben Bemelmans,2017,0.66,0.69,66,67,76,0.58,24,153,0.82,6,5,289066,108
Marco Cecchinato,2017,0.66,0.65,14,44,35,0.41,20,68,0.62,1,5,180091,100
Denis Istomin,2017,0.66,0.72,276,237,195,0.63,54,431,0.8,17,18,699224,88
Edan Leshem,2017,0.66,0.59,5,5,0,0.4,2,9,0.67,0,3,38775,299
Dusan Lajovic,2016,0.66,0.71,166,203,203,0.58,79,465,0.82,19,23,463904,93
Philipp Kohlschreiber,2009,0.66,0.7,320,403,452,0.66,117,785,0.82,40,25,743198,40
Mischa Zverev,2010,0.66,0.67,107,210,176,0.53,68,334,0.71,13,18,299249,55
Julien Benneteau,2015,0.66,0.72,36,20,21,0.3,10,63,0.78,1,5,74679,57
Julien Benneteau,2010,0.66,0.7,302,329,319,0.59,159,561,0.76,26,19,477598,57
Julien Benneteau,2009,0.66,0.7,302,379,366,0.59,175,687,0.77,26,28,531313,57
Mate Delic,2014,0.66,0.67,27,47,26,0.55,6,78,0.73,3,6,86968,411
Paolo Lorenzi,2011,0.66,0.67,9,37,27,0.51,14,52,0.65,2,3,97080,63
Nicolas Jarry,2016,0.66,0.67,11,15,13,0.6,4,22,0.73,0,4,39277,65
Fernando Verdasco,2014,0.66,0.72,260,341,358,0.66,218,645,0.82,26,20,799398,37
Maximilian Marterer,2016,0.66,0.6,2,18,8,0.56,5,18,0.56,0,2,44781,73
Maxime Hamou,2015,0.66,0.62,4,28,17,0.61,3,28,0.61,0,2,61755,431
Ivo Karlovic,2011,0.66,0.8,632,162,124,0.7,98,478,0.9,16,21,413168,76
Alexander Ward,2017,0.66,0.63,3,15,2,0.6,5,17,0.65,0,1,73226,315
Matthew Ebden,2010,0.66,0.72,19,16,10,0.56,3,34,0.79,1,2,59717,78
Yuki Bhambri,2017,0.66,0.7,20,41,70,0.61,21,92,0.83,8,4,140914,83
Juan Martin del Potro,2014,0.66,0.76,111,46,62,0.65,16,127,0.87,7,3,186933,6
Maximo Gonzalez,2013,0.66,0.73,12,16,24,0.69,8,33,0.85,1,1,76818,538
Denis Istomin,2010,0.66,0.71,389,381,384,0.62,88,720,0.8,32,29,525307,88
Denis Istomin,2009,0.66,0.7,192,207,180,0.61,79,372,0.78,16,18,264643,88
Jimmy Wang,2013,0.66,0.64,20,40,37,0.48,12,59,0.64,0,2,15377,1017
Daniel Evans,2009,0.66,0.54,3,15,3,0.47,5,13,0.38,0,3,43766,994
Maximo Gonzalez,2017,0.66,0.64,1,25,16,0.68,7,29,0.72,1,1,65667,538
Bernard Tomic,2012,0.66,0.67,238,342,333,0.61,72,584,0.77,26,27,495172,182
Philip Bester,2015,0.66,0.61,4,5,2,0.4,4,8,0.63,0,1,12882,849
Pablo Andujar,2016,0.66,0.66,16,64,41,0.52,20,93,0.67,1,7,86965,154
Pablo Andujar,2015,0.66,0.65,86,314,291,0.6,87,488,0.74,17,23,701494,154
Pablo Andujar,2014,0.66,0.64,68,300,338,0.57,102,479,0.73,22,23,673282,154
Pablo Andujar,2010,0.66,0.64,22,117,136,0.52,42,195,0.71,8,8,174048,154
John-Patrick Smith,2016,0.66,0.68,29,41,24,0.61,14,68,0.76,2,4,78413,238
Matthias Bachinger,2014,0.66,0.75,54,29,36,0.59,12,84,0.86,4,2,148491,160
Mate Pavic,2014,0.66,0.71,37,20,9,0.7,9,38,0.84,18,18,104010,938
Alessandro Giannessi,2017,0.66,0.64,61,146,108,0.66,55,180,0.73,6,9,189513,164
David Vega Hernandez,2015,0.66,0.52,1,7,0,0.43,1,7,0.43,0,0,3163,577
Bradley Klahn,2012,0.66,0.63,22,49,22,0.63,13,51,0.65,1,2,58820,165
Jurgen Melzer,2014,0.66,0.67,138,253,247,0.58,90,422,0.75,16,20,419544,581
Aleksandr Nedovyesov,2014,0.66,0.68,113,132,110,0.53,31,251,0.75,4,14,299389,242
Juan Ignacio Londero,2013,0.66,0.7,1,4,0,0.75,1,11,0.91,0,1,21736,218
Victor Estrella Burgos,2017,0.66,0.7,76,147,102,0.62,54,254,0.78,9,10,354189,171
Victor Estrella Burgos,2016,0.66,0.65,100,236,158,0.64,75,336,0.75,14,19,388180,171
Jurgen Melzer,2013,0.66,0.68,214,338,349,0.6,134,594,0.77,25,27,785286,581
Casper Ruud,2017,0.66,0.68,50,87,59,0.66,33,138,0.78,7,9,222118,201
Alex Bolt,2015,0.66,0.64,3,7,4,0.57,4,9,0.67,2,1,22817,177
Jerzy Janowicz,2015,0.66,0.72,390,291,287,0.65,189,545,0.81,24,24,588781,178
Takuto Niki,2015,0.66,0.54,3,6,2,0.33,3,9,0.56,0,0,2758,753
Andre Ghem,2016,0.66,0.65,0,12,8,0.67,1,17,0.76,0,1,54147,661
Andrej Martin,2017,0.66,0.6,8,30,20,0.67,8,34,0.71,2,2,71696,145
Gael Monfils,2013,0.66,0.71,424,373,439,0.64,201,686,0.8,33,22,634166,42
Mathias Bourgue,2016,0.66,0.66,9,25,31,0.48,8,39,0.67,1,1,129687,245
Simone Bolelli,2015,0.66,0.72,220,281,272,0.65,85,618,0.84,28,26,634090,144
Maximo Gonzalez,2011,0.66,0.6,24,149,99,0.57,36,198,0.68,3,13,235001,538
Di Wu,2016,0.66,0.62,10,40,30,0.45,8,56,0.61,0,2,15966,249
Blaz Kavcic,2014,0.66,0.68,70,94,76,0.64,38,136,0.75,7,7,231038,127
Ze Zhang,2017,0.66,0.72,12,16,25,0.31,14,28,0.61,1,4,91205,248
Rogerio Dutra Silva,2014,0.66,0.6,5,19,10,0.63,4,23,0.7,0,0,3202,125
Mikael Ymer,2015,0.65,0.68,3,4,6,0,5,17,0.76,2,1,12211,358
James Ward,2014,0.65,0.66,56,100,72,0.56,29,161,0.73,5,12,243163,798
Jiri Vesely,2015,0.65,0.72,347,319,290,0.62,151,617,0.8,24,30,694121,72
Daniel Brands,2017,0.65,0.7,35,41,22,0.66,26,60,0.77,1,4,97966,428
Kevin King,2013,0.65,0.63,7,10,4,0.7,4,10,0.7,0,1,12477,172
Facundo Arguello,2016,0.65,0.71,2,8,5,0.5,6,21,0.81,1,1,13426,253
Tommy Robredo,2017,0.65,0.64,38,138,85,0.6,28,187,0.71,5,7,42595,202
Horacio Zeballos,2009,0.65,0.7,68,67,49,0.7,27,132,0.85,5,5,214799,67
Daniel Gimeno-Traver,2009,0.65,0.68,93,204,153,0.55,83,346,0.73,9,20,271361,272
Kenny De Schepper,2014,0.65,0.73,240,146,85,0.64,135,298,0.82,7,19,366921,174
Guido Pella,2012,0.65,0.61,2,14,12,0.43,6,20,0.6,0,1,148677,60
Javier Marti,2011,0.65,0.6,14,58,46,0.55,25,67,0.61,1,4,74411,265
Guido Pella,2017,0.65,0.69,149,230,219,0.64,75,395,0.79,16,18,458671,60
Christian Lindell,2010,0.65,0.62,8,8,4,0.38,2,13,0.62,0,1,16926,357
Nicola Kuhn,2017,0.65,0.65,7,4,3,0.25,5,12,0.75,0,1,45446,196
Victor Estrella Burgos,2015,0.65,0.67,117,231,172,0.57,71,395,0.75,20,20,482456,171
Julien Benneteau,2012,0.65,0.71,334,352,369,0.62,190,646,0.79,27,23,591247,57
Thiago Monteiro,2017,0.65,0.69,154,263,195,0.57,104,446,0.75,13,24,452632,126
Frances Tiafoe,2016,0.65,0.69,40,51,48,0.53,18,100,0.76,1,6,182813,56
Mischa Zverev,2009,0.65,0.69,176,331,258,0.66,75,475,0.76,15,24,340699,55
Bernard Tomic,2010,0.65,0.65,30,81,57,0.59,24,110,0.7,4,6,93606,182
Facundo Arguello,2015,0.65,0.56,14,41,16,0.41,13,55,0.56,1,1,10206,253
Dennis Novak,2017,0.65,0.68,13,19,10,0.74,12,30,0.83,1,1,55827,194
Flavio Cipolla,2011,0.65,0.59,12,145,97,0.53,54,181,0.62,0,1,12790,649
Ivo Karlovic,2017,0.65,0.82,730,123,110,0.72,178,506,0.93,15,20,653609,76
Taro Daniel,2014,0.65,0.61,10,56,49,0.5,19,84,0.67,2,7,124138,113
Dustin Brown,2016,0.65,0.72,180,217,166,0.7,104,324,0.8,13,12,344362,162
Guilherme Clezar,2014,0.65,0.67,7,12,2,0.42,3,16,0.56,0,3,80724,241
Tallon Griekspoor,2017,0.65,0.61,1,17,3,0.59,2,17,0.59,0,2,51532,239
Aslan Karatsev,2015,0.65,0.62,4,14,28,0.5,6,25,0.72,1,1,69405,541
Radu Albot,2015,0.65,0.6,5,54,44,0.46,15,62,0.53,2,5,154199,96
Lukas Lacko,2009,0.65,0.71,22,25,18,0.68,8,53,0.85,3,5,113102,106
Luke Saville,2016,0.65,0.67,4,10,3,0.6,8,21,0.81,0,1,82106,452
Simone Bolelli,2012,0.65,0.69,46,100,71,0.51,32,178,0.72,8,11,175915,144
Joao Souza,2010,0.65,0.67,18,25,28,0.56,9,53,0.79,3,2,89707,305
Maximo Gonzalez,2009,0.65,0.63,44,272,258,0.61,74,345,0.7,13,13,235960,538
Philip Bester,2010,0.65,0.67,3,9,3,0.56,1,9,0.56,0,0,3610,849
Mackenzie McDonald,2013,0.65,0.58,1,13,3,0.62,5,7,0.29,0,1,15034,142
Denis Istomin,2012,0.65,0.71,407,370,355,0.62,93,724,0.81,30,32,549563,88
Martin Klizan,2017,0.65,0.67,82,183,171,0.6,83,303,0.76,11,16,347977,128
Cedrik-Marcel Stebe,2013,0.65,0.66,15,32,20,0.66,5,50,0.78,2,3,94862,101
Nicolas Mahut,2010,0.65,0.79,178,76,36,0.7,51,207,0.89,3,7,142604,111
Taro Daniel,2017,0.65,0.65,42,146,104,0.62,45,187,0.71,4,10,336924,113
Alessandro Giannessi,2011,0.65,0.67,3,26,23,0.58,12,34,0.68,2,1,59703,164
Facundo Bagnis,2012,0.65,0.69,12,23,24,0.61,6,33,0.73,1,2,46526,223
Nikoloz Basilashvili,2017,0.65,0.65,141,384,341,0.58,154,563,0.71,25,27,727717,80
Blaz Kavcic,2010,0.65,0.62,28,93,67,0.49,50,131,0.64,7,8,133442,127
Taro Daniel,2016,0.65,0.66,73,203,172,0.64,58,252,0.71,10,16,261605,113
Mikhail Elgin,2013,0.65,0.35,1,6,3,0.17,0,6,0.17,11,15,83963,831
Ivo Karlovic,2012,0.65,0.79,506,143,157,0.64,87,400,0.87,16,17,304693,76
Ivo Karlovic,2013,0.65,0.82,485,93,96,0.65,96,365,0.91,15,13,348692,76
Taro Daniel,2015,0.65,0.62,21,62,25,0.58,11,70,0.63,2,6,137483,113
Ricardo Hocevar,2010,0.65,0.66,9,15,4,0.4,6,23,0.61,0,2,64649,823
Tommy Paul,2017,0.65,0.7,58,72,82,0.63,29,133,0.8,6,4,174593,163
Rogerio Dutra Silva,2012,0.65,0.66,34,73,46,0.6,19,105,0.72,3,4,25331,125
Fabio Fognini,2012,0.65,0.64,108,393,319,0.56,134,568,0.7,22,24,464383,20
Fernando Verdasco,2015,0.65,0.74,384,335,358,0.66,205,694,0.84,24,26,745138,37
Kyle Edmund,2013,0.65,0.72,18,32,20,0.75,8,46,0.83,1,3,61251,23
Kevin Anderson,2013,0.65,0.76,651,327,395,0.66,182,780,0.86,37,23,992501,8
Nick Kyrgios,2014,0.65,0.75,281,125,103,0.65,73,279,0.84,10,9,638814,25
Richard Gasquet,2014,0.65,0.73,271,228,303,0.59,78,571,0.84,31,19,847265,34
